timestamp,distancia_cm,volumen_litros
2026-04-23 12:29:11,25.2,16.99
2026-04-23 12:38:10,25.2,16.99
2026-04-23 12:40:44,25.2,16.99
2026-04-23 12:43:56,67.4,1.36
2026-04-23 12:53:20,67.4,1.36
2026-04-23 13:04:31,65.8,2.2
2026-04-23 13:19:41,62.2,4.08
2026-04-23 13:34:49,61.6,4.39
2026-04-23 13:49:56,61.6,4.39
2026-04-23 14:05:03,61.5,4.44
2026-04-23 14:20:10,61.5,4.44
2026-04-23 14:35:17,61.4,4.5
2026-04-23 14:50:24,61.4,4.5
2026-04-23 15:05:31,56.6,7.01
2026-04-23 15:20:38,56.7,6.95
2026-04-23 15:35:44,56.8,6.9
2026-04-23 15:50:51,56.8,6.9
2026-04-23 16:05:58,56.8,6.9
2026-04-23 16:21:04,56.8,6.9
2026-04-23 16:36:11,52.2,9.31
2026-04-23 16:51:18,52.1,9.36
2026-04-23 17:06:24,52.1,9.36
2026-04-23 17:21:31,52.1,9.36
2026-04-23 17:36:43,52.1,9.36
2026-04-23 17:51:54,40.2,15.58
2026-04-23 18:07:01,40.2,15.58
2026-04-23 18:22:07,47.8,11.61
2026-04-23 18:37:14,47.8,11.61
2026-04-23 18:52:21,47.8,11.61
2026-04-23 19:07:28,47.8,11.61
2026-04-23 19:22:34,40.3,15.53
2026-04-23 19:37:41,40.3,15.53
2026-04-23 19:52:48,43.0,14.12
2026-04-23 20:07:55,40.3,15.53
2026-04-23 20:23:02,40.3,15.53
2026-04-23 20:38:09,40.3,15.53
2026-04-23 20:53:16,39.9,15.74
2026-04-23 21:08:24,20.5,16.99
2026-04-23 21:23:31,67.5,1.31
2026-04-23 21:38:37,35.8,16.99
2026-04-23 21:53:44,35.8,16.99
2026-04-23 22:08:50,35.8,16.99
2026-04-23 22:23:57,67.5,1.31
2026-04-23 22:39:16,63.1,3.61
2026-04-23 22:51:12,63.0,3.66
2026-04-23 23:06:22,63.1,3.61
2026-04-23 23:21:29,63.0,3.66
2026-04-23 23:36:36,62.7,3.82
2026-04-23 23:51:42,58.5,6.01
2026-04-24 00:06:49,58.2,6.17
2026-04-24 00:21:56,58.2,6.17
2026-04-24 00:37:02,58.2,6.17
2026-04-24 00:52:09,58.2,6.17
